code,species
ameoys,American Oystercatcher
rosspo1,Roseate Spoonbill
rucspa1,Rufous-collared Sparrow
tromoc,Tropical Mockingbird
bichaw1,Bicolored Hawk
roahaw,Roadside Hawk
cotfly1,Common Tody-Flycatcher
blkpho,Black Phoebe
mawtyr1,Masked Water-Tyrant
socfly1,Social Flycatcher
trokin,Tropical Kingbird
srwswa1,Southern Rough-winged Swallow
whtswa1,White-thighed Swallow
bawswa1,Blue-and-white Swallow
orbspa1,Orange-billed Sparrow
flrtan1,Flame-rumped Tanager
bugtan,Blue-gray Tanager
bahtan1,Bay-headed Tanager
blbgra1,Blue-black Grassquit
tbsfin1,Thick-billed Seed-Finch
butsal1,Buff-throated Saltator
blwsal1,Black-winged Saltator
refspi1,Red-faced Spinetail
rumfly1,Rusty-margined Flycatcher
houwre4,Southern House Wren
ecuthr1,Ecuadorian Thrush
paltan1,Palm Tanager
banana,Bananaquit
compot1,Common Potoo
lstswi1,Lesser Swallow-tailed Swift
whnjac1,White-necked Jacobin
whwher1,White-whiskered Hermit
gretho1,Green Thorntail
grcbri1,Green-crowned Brilliant
crowoo1,Crowned Woodnymph
rtlhum,Rufous-tailed Hummingbird
andeme1,Andean Emerald
sunbit1,Sunbittern
categr1,Western Cattle-Egret
rufmot1,Rufous Motmot
spowoo1,Spotted Woodcreeper
stfgle1,Scaly-throated Foliage-gleaner
scptyr1,Scale-crested Pygmy-Tyrant
tortyr1,Torrent Tyrannulet
wewpew,Western Wood-Pewee
acafly,Acadian Flycatcher
watjac1,Wattled Jacana
galpen1,Galapagos Penguin
audshe3,Galapagos Shearwater
magfri,Magnificent Frigatebird
bfoboo,Blue-footed Booby
chotou1,Choco Toucan
slcfly1,Slaty-capped Flycatcher
blntan1,Blue-necked Tanager
eardov1,Eared Dove
spvear1,Sparkling Violetear
blkvul,Black Vulture
turvul,Turkey Vulture
chcant2,Chestnut-crowned Antpitta
azaspi1,Azara's Spinetail
grethr1,Great Thrush
goreup1,Golden-rumped Euphonia
hoosis1,Hooded Siskin
brvear1,Brown Violetear
fabbri1,Fawn-breasted Brilliant
putwoo1,Purple-throated Woodstar
bkmtou1,Yellow-throated Toucan
thbeup1,Thick-billed Euphonia
thbeup3,Thick-billed Euphonia (Thick-billed)
orbeup1,Orange-bellied Euphonia
goltan1,Golden Tanager
sittan1,Silver-throated Tanager
grehon1,Green Honeycreeper
whimbr3,Hudsonian Whimbrel
brnpel,Brown Pelican
palhor4,Pacific Hornero
lotmoc1,Long-tailed Mockingbird
saffin,Saffron Finch
pavpig2,Pale-vented Pigeon
whtdov,White-tipped Dove
paldov1,Pallid Dove
broher,Bronzy Hermit
pucfai1,Purple-crowned Fairy
bltman1,Black-throated Mango
lobsta1,Long-billed Starthroat
vibhum1,Violet-bellied Hummingbird
rehbar1,Red-headed Barbet
pamara1,Pale-mandibled Aracari
blcwoo1,Black-cheeked Woodpecker
goowoo1,Golden-olive Woodpecker
laufal1,Laughing Falcon
rempar,Red-masked Parakeet
greant1,Great Antshrike
yercac1,Yellow-rumped Cacique
scrbla1,Scrub Blackbird
whltan1,White-lined Tanager
wvspet1,Elliot's Storm-Petrel
flicor1,Flightless Cormorant
crgdov1,Croaking Ground Dove
chcswi1,Chestnut-collared Swift
whcswi,White-collared Swift
amahum1,Amazilia Hummingbird
bobfly1,Boat-billed Flycatcher
brbswa1,Brown-bellied Swallow
faswre1,Fasciated Wren
gobgro1,Golden Grosbeak
ducgra2,Dull-colored Grassquit
shshaw,Sharp-shinned Hawk
sobtyr1,Southern Beardless-Tyrannulet
plupig2,Plumbeous Pigeon
spehum1,Speckled Hummingbird
spehum3,Speckled Hummingbird (maculata)
lotsyl1,Long-tailed Sylph
boorat2,Peruvian Racket-tail
whthil3,Green-backed Hillstar
vifbri1,Violet-fronted Brilliant
sposan,Spotted Sandpiper
amakin1,Amazon Kingfisher
grnjay,Green Jay
swathr,Swainson's Thrush
brgeup1,Bronze-green Euphonia
ruboro1,Russet-backed Oropendola
scrcac1,Scarlet-rumped Cacique
bkbwar,Blackburnian Warbler
canwar,Canada Warbler
sumtan,Summer Tanager
goetan1,Golden-eared Tanager
musduc,Muscovy Duck
specha3,Speckled Chachalaca
greani1,Greater Ani
smbani,Smooth-billed Ani
ftpswi1,Fork-tailed Palm Swift
soulap1,Southern Lapwing
hoatzi1,Hoatzin
anhing,Anhinga
bafibi1,Bare-faced Ibis
bcnher,Black-crowned Night Heron
strher2,Striated Heron
gyhvul1,Greater Yellow-headed Vulture
tinhaw1,Tiny Hawk
rinkin1,Ringed Kingfisher
whfnun1,White-fronted Nunbird
swwpuf1,Swallow-winged Puffbird
sccbar1,Scarlet-crowned Barbet
gilbar1,Gilded Barbet
chewoo2,Chestnut Woodpecker
orwpar,Orange-winged Amazon
citwoo1,Cinnamon-throated Woodcreeper
strwoo2,Striped Woodcreeper
butwoo1,Buff-throated Woodcreeper
pitbec1,Pink-throated Becard
leskis1,Lesser Kiskadee
viojay1,Violaceous Jay
whwswa1,White-winged Swallow
whbswa2,White-banded Swallow
thlwre1,Thrush-like Wren
sibtan2,Silver-beaked Tanager
batpig1,Band-tailed Pigeon
whcela1,White-crested Elaenia
verfly,Vermilion Flycatcher
stbtyr1,Streak-throated Bush-Tyrant
yebbru2,Yellow-breasted Brushfinch
shicow,Shiny Cowbird
sltred,Slate-throated Redstart
ructan3,Rufous-chested Tanager
swatan1,Swallow Tanager
cincon1,Cinereous Conebill
rudpig,Ruddy Pigeon
blhpar1,Blue-headed Parrot
chotyr1,Choco Tyrannulet
gohtan1,Golden-hooded Tanager
yebsee1,Yellow-bellied Seedeater
tabher1,Tawny-bellied Hermit
vitsyl1,Violet-tailed Sylph
swtkit,Swallow-tailed Kite
pbmtou1,Plate-billed Mountain-Toucan
uniant2,Uniform Antshrike
sthant1,Streak-headed Antbird
lifgle1,Lineated Foliage-gleaner
gobfly1,Golden-bellied Flycatcher
gontan1,Golden-naped Tanager
megtan1,Metallic-green Tanager
flftan1,Flame-faced Tanager
undtin1,Undulated Tinamou
squcuc1,Common Squirrel-Cuckoo
cowpar1,Cobalt-winged Parakeet
stcant4,Stripe-chested Antwren
whwbec1,White-winged Becard
yebfly4,Olive-faced Flatbill
yectyr1,Yellow-crowned Tyrannulet
pirfly1,Piratic Flycatcher
creoro1,Crested Oropendola
yebdac1,Yellow-bellied Dacnis
cbsfin,Chestnut-bellied Seed-Finch
pubwhi1,Purple-bibbed Whitetip
brbmot1,Broad-billed Motmot
esmant1,Esmeraldas Antbird
plbwoo1,Plain-brown Woodcreeper
webwoo1,Wedge-billed Woodcreeper
baywre1,Bay Wren
gbwwre1,Gray-breasted Wood-Wren
sponit2,Speckled Nightingale-Thrush
ytbtan1,Yellow-throated Chlorospingus
burwar1,Buff-rumped Warbler
gobwar4,Choco Warbler
ocbtan1,Ochre-breasted Tanager
rocpig,Rock Pigeon
chithr1,Chiguanco Thrush
toubar1,Toucan Barbet
spitap2,Spillmann's Tapaculo
peatre1,Pearled Treerunner
gabfru1,Green-and-black Fruiteater
cinfly2,Cinnamon Flycatcher
whttyr1,White-tailed Tyrannulet
brcvir1,Brown-capped Vireo
turjay1,Turquoise Jay
mouwre1,Mountain Wren
pltwre1,Plain-tailed Wren
dubtan1,Dusky Chlorospingus
ccbfin,Chestnut-capped Brushfinch
wwbfin1,White-winged Brushfinch
rucwar1,Russet-crowned Warbler
bwmtan1,Blue-winged Mountain Tanager
blttra1,Black-tailed Trainbearer
neocor,Neotropic Cormorant
ruhcha1,Rufous-headed Chachalaca
ecgdov1,Ecuadorian Ground Dove
blchum1,Blue-chested Hummingbird
pepowl1,Peruvian Pygmy-Owl
bucmot3,Whooping Motmot
pacpar2,Pacific Parrotlet
whbman1,White-bearded Manakin
mastit1,Masked Tityra
strfly1,Streaked Flycatcher
chivir1,Chivi Vireo
trogna2,White-browed Gnatcatcher
yetori1,Yellow-tailed Oriole
giacow,Giant Cowbird
bkfdac1,Yellow-tufted Dacnis
varsee3,Variable Seedeater
crmwoo2,Crimson-mantled Woodpecker
monwoo1,Montane Woodcreeper
bestan1,Beryl-spangled Tanager
oilbir1,Oilbird
barhaw1,Barred Hawk
buwsta1,Buff-winged Starfrontlet
babwoo2,Bar-bellied Woodpecker
blatap1,Blackish Tapaculo
strtuf1,Streaked Tuftedcheek
rhptyr1,Rufous-headed Pygmy-Tyrant
tartyr1,Tawny-rumped Tyrannulet
rufwre1,Rufous Wren
sthbrf8,Gray-browed Brushfinch
spered1,Spectacled Redstart
blchem1,Black-capped Hemispingus
homtan1,Hooded Mountain Tanager
grgtan1,Grass-green Tanager
goctan4,Golden-crowned Tanager
plushc1,Plushcap
boorat1,White-booted Racket-tail
brwhaw,Broad-winged Hawk
ruwbar1,Rusty-winged Barbtail
sieela3,Sierran Elaenia
pumtan2,Purplish-mantled Tanager
masflo1,Masked Flowerpiercer
souemt1,Southern Emerald-Toucanet
grekis,Great Kiskadee
hobkit,Hook-billed Kite
osprey,Osprey
baytan3,Blue-and-yellow Tanager
blkflo1,Black Flowerpiercer
ruther1,Rufescent Tiger-Heron
blfnun1,Black-fronted Nunbird
blbwoo1,Black-banded Woodcreeper
crrtou1,Crimson-rumped Toucanet
smcpew1,Smoke-colored Pewee
yecchl1,Yellow-collared Chlorophonia
blctan1,Black-capped Tanager
whsflo1,White-sided Flowerpiercer
wepdov1,West Peruvian Dove
grbani,Groove-billed Ani
perboo1,Peruvian Booby
rebhaw2,Variable Hawk
lesvio1,Lesser Violetear
whctap1,White-crowned Tapaculo
goftyr1,Golden-faced Tyrannulet
cargra1,Carib Grackle
hoapuf1,Hoary Puffleg
broinc2,Brown Inca
vepcor1,Velvet-purple Coronet
clopyo1,Cloud-forest Pygmy-Owl
yevwoo1,Yellow-vented Woodpecker
gowman1,Golden-winged Manakin
clwman1,Club-winged Manakin
barbec1,Barred Becard
boptyr1,Bronze-olive Pygmy-Tyrant
glgtan1,Glistening-green Tanager
indflo1,Indigo Flowerpiercer
ruftho1,Rufous-fronted Thornbird
grbbec1,Green-backed Becard
yebela1,Yellow-bellied Elaenia
puteup1,Purple-throated Euphonia
strsal1,Streaked Saltator
snoegr,Snowy Egret
greegr,Great Egret
cocher1,Cocoi Heron
gybmar,Gray-breasted Martin
gagwar2,Gray-and-gold Warbler
burowl,Burrowing Owl
whthil2,Rufous-gaped Hillstar
empbri1,Empress Brilliant
mastro1,Masked Trogon
perfal,Peregrine Falcon
andcot1,Andean Cock-of-the-rock
ornfly1,Ornate Flycatcher
tropar,Tropical Parula
thswar1,Three-striped Warbler
whiibi,White Ibis
moucac1,Mountain Cacique
blcwar2,Black-crested Warbler
rugdov,Ruddy Ground Dove
blbthr1,Black-billed Thrush
rusflo1,Rusty Flowerpiercer
grasal3,Bluish-gray Saltator
hrshaw,Harris's Hawk
shisun1,Shining Sunbeam
mouvel1,Mountain Velvetbreast
bcbeag1,Black-chested Buzzard-Eagle
reccot1,Red-crested Cotinga
blehem1,Black-eared Hemispingus
sbmtan1,Scarlet-bellied Mountain Tanager
grepot1,Great Potoo
purgal2,Purple Gallinule
amekes,American Kestrel
scrtan1,Scrub Tanager
fragul,Franklin's Gull
lavgul1,Lava Gull
galfly1,Galapagos Flycatcher
manwar1,Mangrove Yellow Warbler
swtgul1,Swallow-tailed Gull
rebtro,Red-billed Tropicbird
nazboo1,Nazca Booby
galhaw1,Galapagos Hawk
puchum1,Purple-chested Hummingbird
plukit1,Plumbeous Kite
gryhaw3,Gray-lined Hawk
whttro1,White-tailed Trogon
orfbar1,Orange-fronted Barbet
whfant2,White-flanked Antwren
plaxen2,Northern Plain-Xenops
cinbec1,Cinnamon Becard
ducfly,Dusky-capped Flycatcher
orceup1,Orange-crowned Euphonia
whstan1,White-shouldered Tanager
tactan1,Tawny-crested Tanager
gagtan1,Gray-and-gold Tanager
scbtan2,Scarlet-browed Tanager
tyrmet1,Tyrian Metaltail
slccoo1,Slate-colored Coot
pibgre,Pied-billed Grebe
tuttyr1,Tufted Tit-Tyrant
tawant3,Tawny Antpitta
partap2,Paramo Tapaculo
chwcin1,Chestnut-winged Cinclodes
whbspi2,White-browed Spinetail
sedwre,Grass Wren
pnbfin1,Pale-naped Brushfinch
bbbtan1,Black-backed Bush Tanager
whcpin,White-cheeked Pintail
comgal1,Common Gallinule
smgfin1,Small Ground-Finch
lagfin1,Large Ground-Finch
megfin1,Medium Ground-Finch
butpig1,Blue-throated Piping-Guan
ampkin1,American Pygmy Kingfisher
bkcdon,Black-capped Donacobius
reccar4,Red-capped Cardinal
gorwoo2,Gorgeted Woodstar
higmot1,Andean Motmot
rebbla1,Red-breasted Meadowlark
gochon2,Golden-collared Honeycreeper
spetea3,Andean Teal
andgul1,Andean Gull
stbcin1,Stout-billed Cinclodes
tildac1,Tit-like Dacnis
butcor1,Buff-tailed Coronet
stnfly1,Streak-necked Flycatcher
horscr1,Horned Screamer
bbwduc,Black-bellied Whistling-Duck
whtcra1,White-throated Crake
limpki,Limpkin
snakit,Snail Kite
grnkin,Green Kingfisher
scbwoo3,Scarlet-backed Woodpecker
colant2,Collared Antshrike
sthwoo1,Streak-headed Woodcreeper
tacpyt2,Fulvous-faced Scrub-Tyrant
baifly1,Baird's Flycatcher
sntkin1,Snowy-throated Kingbird
rubpep1,Rufous-browed Peppershrike
whtjay2,White-tailed Jay
crbfin1,Crimson-breasted Finch
brnnod,Brown Noddy
strher3,Lava Heron
crcwoo1,Crimson-crested Woodpecker
reevir1,Red-eyed Vireo
reevir3,Chivi Vireo (resident)
mactan1,Masked Crimson Tanager
savpuf1,Sapphire-vented Puffleg
undant1,Undulated Antpitta
scaant1,Scaled Antpitta
rbctyr1,Rufous-breasted Chat-Tyrant
plcsee1,Plain-colored Seedeater
fuwduc,Fulvous Whistling-Duck
buwtea,Blue-winged Teal
yebpin1,Yellow-billed Pintail
gycpar1,Gray-cheeked Parakeet
relpar9,Lilacine Amazon
grtgra,Great-tailed Grackle
heptan,Hepatic Tanager
virmet1,Viridian Metaltail
andcon1,Andean Condor
carcar1,Carunculated Caracara
mascan1,Many-striped Canastero
whcthi1,White-chinned Thistletail
bkbsht1,Black-billed Shrike-Tyrant
bbctyr1,Brown-backed Chat-Tyrant
gloflo1,Glossy Flowerpiercer
plsfin1,Plumbeous Sierra Finch
zelant1,Zeledon's Antbird
mouant1,Moustached Antpitta
slbcht2,Chestnut-bellied Chat-Tyrant
andsol1,Andean Solitaire
yebspa1,Yellow-browed Sparrow
labter1,Large-billed Tern
greibi1,Green Ibis
capher1,Capped Heron
libher,Little Blue Heron
slbkit1,Slender-billed Kite
fepowl,Ferruginous Pygmy-Owl
whejac1,White-eared Jacamar
brojac2,Brown Jacamar
letara1,Lettered Aracari
cheara1,Chestnut-eared Aracari
mabara1,Many-banded Aracari
whttou1,White-throated Toucan
yetwoo2,Yellow-tufted Woodpecker
crcwoo2,Cream-colored Woodpecker
chfmac1,Chestnut-fronted Macaw
scamac1,Scarlet Macaw
lobwoo1,Long-billed Woodcreeper
blttit1,Black-tailed Tityra
ivbara1,Ivory-billed Aracari
plwant1,Plain-winged Antshrike
mocant1,Mouse-colored Antshrike
blfant2,Black-faced Antbird
spacot1,Spangled Cotinga
banfru1,Bare-necked Fruitcrow
yemfly1,Yellow-margined Flatbill
sulfly1,Sulphury Flycatcher
gobeup1,Golden-bellied Euphonia
flctan1,Flame-crested Tanager
turtan1,Turquoise Tanager
partan1,Paradise Tanager
gagtan2,Green-and-gold Tanager
purhon1,Purple Honeycreeper
orheag1,Ornate Hawk-Eagle
gohque1,Golden-headed Quetzal
nartap2,Nariño Tapaculo
stctre1,Streak-capped Treehunter
fudtre1,Fulvous-dotted Treerunner
orbfru1,Orange-breasted Fruiteater
flafly2,Flavescent Flycatcher
blasol1,Black Solitaire
mobtan1,Moss-backed Tanager
bcmtan2,Black-chinned Mountain Tanager
ruttan1,Rufous-throated Tanager
brwpar1,Bronze-winged Parrot
lesgre1,Lesser Greenlet
cobtan1,Common Chlorospingus
bludac1,Blue Dacnis
yefgra1,Yellow-faced Grassquit
smbwoo1,Smoky-brown Woodpecker
bkpwar,Blackpoll Warbler
plaant1,Plain Antvireo
bffgle,Buff-fronted Foliage-gleaner
spobar1,Spotted Barbtail
slaspi1,Slaty Spinetail
scsvir1,Slaty-capped Shrike-Vireo
scbwre1,Scaly-breasted Wren
tribrf1,Choco Brushfinch
littin1,Little Tinamou
duspig2,Dusky Pigeon
strcuc1,Striped Cuckoo
grrswi1,Gray-rumped Swift
buttro1,Blue-tailed Trogon
gartro1,Gartered Violaceous Trogon
bkttro5,Choco Black-throated Trogon
lanmon1,Lanceolated Monklet
guawoo2,Guayaquil Woodpecker
linwoo1,Lineated Woodpecker
cinwoo1,Cinnamon Woodpecker
wesant1,Black-crowned Antshrike
rusant1,Russet Antshrike
chtant1,Checker-throated Stipplethroat
pacant,Pacific Antwren
dowant1,Dot-winged Antwren
chbant1,Chestnut-backed Antbird
nobwoo1,Northern Barred-Woodcreeper
strwoo5,Western Woodhaunter
putfru1,Purple-throated Fruitcrow
oncbec1,One-colored Becard
olsfly1,Olive-striped Flycatcher
bcptyr1,Black-capped Pygmy-Tyrant
bhtfly1,Black-headed Tody-Flycatcher
yemfly2,Yellow-winged Flatbill
brctyr,Brown-capped Tyrannulet
sohtyr1,Sooty-headed Tyrannulet
babwre1,Band-backed Wren
yebsis1,Yellow-bellied Siskin
duftan1,Dusky-faced Tanager
blwtan1,Blue-whiskered Tanager
sctdac1,Scarlet-thighed Dacnis
scbdac1,Scarlet-breasted Dacnis
guitan1,Guira Tanager
slcgro1,Slate-colored Grosbeak
andgua1,Andean Guan
tousun1,Tourmaline Sunangel
bbmtou1,Black-billed Mountain-Toucan
scnpar1,Scaly-naped Amazon
capcon1,Capped Conebill
capcon2,Capped Conebill (Blue-capped)
siwgua1,Sickle-winged Guan
watgua1,Wattled Guan
rebpar2,Red-billed Parrot
rubant1,Rufous-breasted Antthrush
compau,Common Pauraque
baffal1,Barred Forest-Falcon
lowumb1,Long-wattled Umbrellabird
cintin1,Cinereous Tinamou
retcar2,Red-throated Caracara
yehcar1,Yellow-headed Caracara
blhpar4,Black-headed Parrot
baymac,Blue-and-yellow Macaw
dutant2,Dusky-throated Antshrike
pltant1,Plain-throated Antwren
gryant1,Gray Antwren
perwaa1,Peruvian Warbling-Antbird
spbant6,Spot-backed Antbird
scbant3,Common Scale-backed Antbird
ocsant1,Ochre-striped Antpitta
thlant2,Thrush-like Antpitta
elewoo1,Elegant Woodcreeper
dwtman1,Dwarf Tyrant-Manakin
wibpip1,Wing-barred Piprites
dbptyr1,Double-banded Pygmy-Tyrant
brratt1,Bright-rumped Attila
gramou1,Grayish Mourner
whbant3,White-bellied Antpitta
lottap1,Long-tailed Tapaculo
shawre1,Sharpe's Wren
grfdov1,Gray-fronted Dove
whepar2,White-eyed Parakeet
ybtfly1,Yellow-browed Tody-Flycatcher
spigua1,Spix's Guan
stbher1,Straight-billed Hermit
dotkit1,Double-toothed Kite
chbtou1,Channel-billed Toucan
rinwoo1,Ringed Woodpecker
wavwoo5,Waved Woodpecker
ywcpar,Yellow-crowned Amazon
witman2,Wire-tailed Manakin
oprtan1,Opal-rumped Tanager
opctan1,Opal-crowned Tanager
bkfdac2,Black-faced Dacnis
bobher1,Boat-billed Heron
speowl1,Spectacled Owl
glteme1,Glittering-throated Emerald
blacar1,Black Caracara
magtan2,Magpie Tanager
rabtho1,Rainbow-bearded Thornbill
olcyel1,Olive-crowned Yellowthroat
torduc1,Torrent Duck
spbwoo1,Spot-breasted Woodpecker
orbtro3,Orange-backed Troupial
olipic1,Olivaceous Piculet
grcfly1,Gray-capped Flycatcher
whiwre1,Whiskered Wren
blsspa1,Black-striped Sparrow
buthil1,Blue-throated Hillstar
gresap1,Great Sapphirewing
bknsti,Black-necked Stilt
semplo,Semipalmated Plover
shbdow,Short-billed Dowitcher
grefla2,American Flamingo
moucar1,Mountain Caracara
cocfin3,Common Cactus-Finch
renpha,Red-necked Phalarope
broinc1,Bronzy Inca
brcfly1,Bran-colored Flycatcher
paefly1,Pale-edged Flycatcher
ructan4,Rufous-crested Tanager
yettan1,Yellow-throated Tanager
debflo1,Deep-blue Flowerpiercer
blmtho1,Blue-mantled Thornbill
rubsee2,Rufous-bellied Seedsnipe
rrbtyr1,Red-rumped Bush-Tyrant
paethr1,Pale-eyed Thrush
grbhaw1,Great Black Hawk
bawowl1,Black-and-white Owl
shtswi1,Short-tailed Swift
garkin1,Green-and-rufous Kingfisher
silant1,Silvered Antbird
cinatt1,Cinnamon Attila
wantat1,Wandering Tattler
rudtur,Ruddy Turnstone
galmoc1,Galapagos Mockingbird
matpar2,Maroon-tailed Parakeet
weseme1,Western Emerald
blhsap1,Blue-headed Sapphire
y01204,Mouse-colored Tyrannulet
bawsee1,Black-and-white Seedeater
orcpar2,Orange-cheeked Parrot
lowant1,Long-winged Antwren
blcman1,Blue-capped Manakin
ocbfly1,Ochre-bellied Flycatcher
whltyr1,White-lored Tyrannulet
ducfly2,Dusky-chested Flycatcher
lecgre2,Lemon-chested Greenlet
ducgre1,Dusky-capped Greenlet
yegvir,Yellow-green Vireo
whnrob1,White-necked Thrush
fubfla1,Fulvous-breasted Flatbill
sactan1,Saffron-crowned Tanager
ruscra1,Rufous-sided Crake
whiher1,Whistling Heron
duhpar,Dusky-headed Parakeet
aldfly,Alder Flycatcher
corwre1,Coraya Wren
sobcac1,Solitary Black Cacique
casoro2,Casqued Cacique
norwat,Northern Waterthrush
scatan,Scarlet Tanager
grbher3,Great Blue Heron
killde,Killdeer
lesyel,Lesser Yellowlegs
greyel,Greater Yellowlegs
leasan,Least Sandpiper
laugul,Laughing Gull
gryfin1,Grassland Yellow-Finch
relhon1,Red-legged Honeycreeper
webhum3,White-throated Daggerbill
colinc1,Collared Inca
whcdip1,White-capped Dipper
sungre1,Sungrebe
agaher1,Agami Heron
batfal1,Bat Falcon
lytnig1,Lyre-tailed Nightjar
shthaw,Short-tailed Hawk
swbhum1,Sword-billed Hummingbird
whbwoo6,White-bellied Woodstar
gorsun1,Gorgeted Sunangel
barpar1,Barred Parakeet
stbwoo1,Strong-billed Woodcreeper
scafru1,Scaled Fruiteater
fabtan1,Fawn-breasted Tanager
olsfly,Olive-sided Flycatcher
houspa,House Sparrow
yebcac1,Yellow-billed Cacique
ecuhil1,Ecuadorian Hillstar
brnowl,American Barn Owl
eawpew,Eastern Wood-Pewee
grefri,Great Frigatebird
father1,Fasciated Tiger-Heron
galpet,Galapagos Petrel
whttyr2,White-throated Tyrannulet
crocht1,Crowned Chat-Tyrant
suphem1,Superciliaried Hemispingus
bcmtan1,Black-chested Mountain Tanager
bubmot3,Buff-banded Mountain Tanager
blbcon1,Blue-backed Conebill
rubher,Rufous-breasted Hermit
blheag1,Black Hawk-Eagle
goctou1,Golden-collared Toucanet
rebmac2,Red-bellied Macaw
pluant1,Plumbeous Antbird
vefgra1,Velvet-fronted Grackle
chbcor1,Chestnut-breasted Coronet
gybmot1,Gray-breasted Mountain-Toucan
chbsee1,Chestnut-bellied Seedeater
lamtan1,Lacrimose Mountain Tanager
wrspet,Wedge-rumped Storm-Petrel
kelgul,Kelp Gull
triher,Tricolored Heron
tyrwoo1,Tyrannine Woodcreeper
gnbtro1,Green-backed Trogon
